"REF_DATE","GEO","DGUID","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017-07","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","64953","","","","0"
"2017-10","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","71936","","","","0"
"2018-01","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","78450","","","","0"
"2018-04","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","68600","","","","0"
"2018-07","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","66304","","","","0"
"2018-10","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","72600","","","","0"
"2019-01","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","74728","","","","0"
"2019-04","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","69516","","","","0"
"2019-07","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","67055","","","","0"
"2019-10","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","74285","","","","0"
"2020-01","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","76920","","","","0"
"2020-04","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","78935","","","","0"
"2020-07","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","70848","","","","0"
"2020-10","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","81988","","","","0"
"2021-01","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","80046","","","","0"
"2021-04","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","74415","","","","0"
"2021-07","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","74866","","","","0"
"2021-10","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","82670","","","","0"
"2022-01","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","84631","","","","0"
"2022-04","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","77452","","","","0"
"2022-07","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","78229","","","","0"
"2022-10","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","87314","","","","0"
"2023-01","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","85486","","","","0"
"2023-04","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","79350","","","","0"
"2023-07","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","79611","","","","0"
"2023-10","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","87562","","","","0"


